	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
OC220225-SN0167	OC220225-SN0167	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.3145	3.9281	0.156207836
OC220225-SN0168	OC220225-SN0168	Inf	Inf	3.11833	4.29471	3.56101	3.649264	3.57448	3.85978	2.90108	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2614	3.9615	0.176725988
OC220225-SN0170	OC220225-SN0170	2.35717	Inf	1.7177	2.04711	2.45406	2.531921	2.6123	2.46694	2.52149	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.5044	4.1791	0.400732215
OC220225-SN0171	OC220225-SN0171	0.980235	Inf	0.970092	0.895218	1.08765	0.91881	0.816135	1.13664	0.823575	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.0257	3.9739	0.23860691
OC220225-SN0172	OC220225-SN0172	4.97609	Inf	6.61702	6.90018	7.51139	6.41137	7.8519	6.16322	7.37251	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.5455	3.9185	0.35038918
OC220225-SN0173	OC220225-SN0173	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	2	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.7361	3.7261	0.265693352
OC220225-SN0174	OC220225-SN0174	Inf	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2266	4.0431	0.201949
OC220225-SN0175	OC220225-SN0175	Inf	Inf*	3.97164	3.09338	2.56392	4.10974	2.86148	4.0912	3.93548	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1904	4.1766	0.236125078
OC220225-SN0177	OC220225-SN0177	Inf	2.21891	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.8677	3.9638	0.276527575
OC220225-SN0178	OC220225-SN0178	Inf	22.3575	3.00719	3.64775	4.71794	5.00088	3.35812	3.981	4.49194	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.8844	3.9709	0.273615553
OC220225-SN0179	OC220225-SN0179	Inf	Inf	7.8386	Inf*	10.1922	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.8598	4.0592	0.295476941
OC220225-SN0180	OC220225-SN0180	Inf	1.15848	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.4045	4.0084	0.150658617
OC220225-SN0181	OC220225-SN0181	1.30092	Inf*	1.639095	5.6452	1.91246	2.83617	1.886353	1.594818	3.35739	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1315	4.1227	0.240424964
OC220225-SN0182	OC220225-SN0182	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.5586	3.3299	0.231628577
OC220225-SN0183	OC220225-SN0183	Inf	1.23354	9.71571	Inf*	11.4209	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.3833	3.9387	0.141010993
OC220225-SN0184	OC220225-SN0184	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1504	3.8923	0.190607096
OC220225-SN0185	OC220225-SN0185	Inf	0.304346	9.58734	Inf	Inf	8.23373	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.9884	3.96	0.245353535
OC220225-SN0186	OC220225-SN0186	Inf	0.83035	3.0395	3.42083	3.04006	3.83308	4.24778	4.063	3.54507	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2795	3.9285	0.165203004
OC220225-SN0187	OC220225-SN0187	0.0547	Inf*	0.0035	0.00218077	0.006243	0.00420498	0.00292487	0.00594323	0.985114	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.2981	4.0209	0.42846129
OC220225-SN0188	OC220225-SN0188	2.0193	Inf	2.41462	2.38689	2.69843	3.12804	2.5179	2.4735	4.0807	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.8938	3.5136	0.176400273
OC220225-SN0189	OC220225-SN0189	Inf	Inf	9.74911	Inf*	12.8445	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.0697	3.6004	0.147400289
OC220225-SN0190	OC220225-SN0190	Inf	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	1	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.4564	3.7279	0.341076746
OC220225-SN0191	OC220225-SN0191	Inf	1.03787	10.673	Inf*	11.4061	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.9544	4.0777	0.275473919
OC220225-SN0193	OC220225-SN0193	Inf	Inf	3.86332	Inf*	3.71161	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.3958	3.8206	0.111186725
OC220225-SN0194	OC220225-SN0194	Inf	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2695	3.9888	0.180329924
OC220225-SN0195	OC220225-SN0195	2.01521	2.48292	1.94484	1.577189	1.7751	0.998646	1.702698	1.71684	1.449763	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2117	4.0183	0.200731653
OC220225-SN0196	OC220225-SN0196	5.26894	4.51237	4.48979	4.03796	3.89339	3.83211	5.26682	3.13559	5.08438	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1065	3.8366	0.190298702
OC220225-SN0197	OC220225-SN0197	3.03496	2.31238	2.23058	3.50368	3.74221	3.42843	3.69485	3.29973	3.83849	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.0485	3.7923	0.196134272
OC220225-SN0198	OC220225-SN0198	2.46788	0.281813	4.0719	4.43322	5.83671	5.13348	5.44361	5.1783	3.90131	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.983	3.8076	0.216566866
OC220225-SN0199	OC220225-SN0199	Inf	--	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
OC220225-SN0200	OC220225-SN0200	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.8966	3.702	0.217558077
OC220225-SN0201	OC220225-SN0201	4.47316	Inf	4.68401	3.67502	4.71444	4.04	3.756	4.69231	4.54	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1851	4.0731	0.218015762
OC220225-SN0202	OC220225-SN0202	Inf	2.08142	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2207	3.8093	0.154516578
OC220225-SN0203	OC220225-SN0203	Inf	2.48153	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1291	3.9017	0.198016249
OC220225-SN0204	OC220225-SN0204	1.18623	0.385426	3.70571	3.72389	3.23313	3.63748	2.92723	3.689166	3.03659	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.2518	3.7296	0.128110253
OC220225-SN0205	OC220225-SN0205	0.8592	Inf*	0.468067	0.467468	0.688341	0.534957	0.501802	0.555942	0.46051	--	--	0.488354	0.292393	2.49754	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.9732	3.9038	0.238383114
OC220225-SN0207	OC220225-SN0207	Inf	0.176724	3.78584	3.912	3.21297	2.291283	2.9812	3.991283	3.0192	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.961	3.803	0.221404155
OC220225-SN0208	OC220225-SN0208	5.67678	1.35199	3.06336	3.82958	4.27615	3.78452	3.89868	3.46602	3.6266	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.5722	3.7632	0.316485969
OC220225-SN0210	OC220225-SN0210	8.32538	Inf	Inf	Inf*	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.8991	3.5215	0.176742865
OC220225-SN0211	OC220225-SN0211	Inf	0.837519	Inf	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.5237	3.6735	0.312998503
OC220225-SN0212	OC220225-SN0212	1.65286	Inf	5.44882	3.60636	3.77562	2.89368	3.64816	2.39051	3.88747	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1928	3.8016	0.160143098
OC220225-SN0213	OC220225-SN0213	1.55736	0.352176	0.776396	0.859312	1.11601	0.528264	0.807159	1.09352	0.800154	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.7898	3.8105	0.26786511
OC220225-SN0215	OC220225-SN0215	5.93285	2.58462	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.6986	3.5113	0.231452738
OC220225-SN0216	OC220225-SN0216	Inf	Inf*	Inf	Inf*	13.6596	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.9848	3.6189	0.175218989
OC220225-SN0217	OC220225-SN0217	Inf	0.296086	9.01794	Inf*	6.53172	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.368	3.8812	0.389879419
OC220225-SN0218	OC220225-SN0218	Inf	Inf	8.25642	5.4916	7.98319	6.696	5.05446	7.6473	5.78686	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.6975	3.4156	0.210241246
OC220225-SN0219	OC220225-SN0219	Inf	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.4146	3.3341	-0.024144447
OC220225-SN0220	OC220225-SN0220	4.90644	3.27096	1.36649	1.47963	2.79662	2.21144	2.35198	1.68759	2.49802	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.0489	3.5402	0.13877747
OC220225-SN0221	OC220225-SN0221	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.7882	3.8107	0.005904427
OC220225-SN0222	OC220225-SN0222	1.61323	0.151717	1.67012	1.82431	3.58382	3.67466	2.95655	2.6465	2.43433	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.8145	3.6803	-0.036464419
OC220225-SN0223	OC220225-SN0223	Inf	7.2149	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.4055	3.6525	0.067624914
OC220225-SN0224	OC220225-SN0224	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.5955	3.8537	0.067000545
OC220225-SN0229	OC220225-SN0229	0.00741806	Inf*	0.018502	0.0154748	0.0145512	0.01758123	0.0168009	0.0156148	0.01468581	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.4766	3.529	0.864947577
OC220225-SN0232	OC220225-SN0232	0.00976383	Inf*	0.0688	0.05693	0.0495575	0.0345042	0.0450541	0.045075	0.0484559	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.8205	3.6816	0.777134941
OC220225-SN0233	OC220225-SN0233	0.00334817	Inf*	0.0813747	0.0780062	0.117066	0.0958194	0.107924	0.0955371	0.735136	--	--	0.00670479	0.00803497	0.0165279	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2263	3.8513	0.94124062
OC220225-SN0234	OC220225-SN0234	0.00103944	Inf*	0.0809494	0.0411597	0.038606	0.02824155	0.0388109	0.055575	0.331998	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.6363	3.8788	0.835954419
OC220225-SN0260	OC220225-SN0260	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2145	3.5151	0.938977554
OC220225-SN0261	OC220225-SN0261	Inf	2.27169	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.6622	3.7112	0.013203277
OC220225-SN0263	OC220225-SN0263	2.42547	Inf	8.22744	5.74355	6.42716	4.00861	5.66038	6.97723	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.5778	4.0729	0.121559577
OC220225-SN0264	OC220225-SN0264	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.3729	3.8021	0.112884985
OC220225-SN0265	OC220225-SN0265	0.110619	Inf*	0.011563	0.00964123	0.00967	0.01224888	0.00895045	0.0011393	Inf	--	--	0.141511	0.14582	0.147201	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.9012	3.9444	0.264476219
OC220225-SN0322	OC220225-SN0322	Inf	Inf*	0.302978	0.410262	0.31015	0.663527	0.67396	0.352263	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.9768	3.613	-0.100691946
OC220225-SN0326	OC220225-SN0326	Inf	2.18851	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.3597	3.4648	0.030333641
OC220225-SN0330	OC220225-SN0330	1.46157	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.6072	3.9054	0.076355815
OC220225-SN0331	OC220225-SN0331	Inf	3.29438	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.4916	3.4487	-0.01243947
OC220225-SN0332	OC220225-SN0332	Inf	1.43804	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.7958	3.7421	-0.014350231
OC220225-SN0333	OC220225-SN0333	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.918	4.0517	0.032998494
OC220225-SN0395	OC220225-SN0395	Inf	Inf	1.0163	--	--	--	--	--	--	--	--	--	--	--	3	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
OC220225-SN0400	OC220225-SN0400	0.126308	Inf*	0.000892906	0.000961014	0.00127613	0.00117225	0.00109125	0.001066118	0.00284028	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.6451	3.7472	0.294112938
OC220302-SN0410	OC220302-SN0410	0.142932	Inf*	0.199778	0.14014	0.188004	1.333698	1.138395	0.195875	Inf	--	--	0.129622	Inf	0.123544	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.1733	3.3032	0.039325503
OC220302-SN0411	OC220302-SN0411	0.00464949	Inf*	0.181378	0.1820433	0.16067	0.1498	0.1982	0.1480668	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.5734	3.6545	0.843097551
OC220302-SN0412	OC220302-SN0412	0.00516671	Inf*	0.214978	0.19587	0.288354	0.43359	0.33186	0.328322	3.20238	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.5938	3.5022	0.830449432
OC220302-SN0416	OC220302-SN0416	0.0103332	Inf*	1.30068	1.04883	0.918155	0.874134	0.967486	0.746365	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.0746	3.5221	0.69489793
OC220302-SN0418	OC220302-SN0418	0.000897403	Inf*	0.0836786	0.065152	0.0876213	0.0773038	0.0830499	0.083529	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2489	3.4371	0.927584301
OC220302-SN0419	OC220302-SN0419	0.00241046	Inf	0.145726	0.1920929	0.00765118	0.00841877	0.0107577	0.237634	0.00968996	--	--	--	--	--	1	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.2479	3.8994	0.679976407
OC220302-SN0420	OC220302-SN0420	0.130312	Inf*	0.503447	0.650598	1.36209	Inf	4.50553	0.681045	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.5583	3.7267	0.045187431
OC220302-SN0423	OC220302-SN0423	0.0117676	Inf*	0.146012	0.0910713	0.0999108	0.1173774	0.0946937	0.0872332	1.51019	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.3644	3.6881	0.630053415
OC220302-SN0424	OC220302-SN0424	0.00105662	Inf	0.00412467	0.00583852	0.00402681	0.00489826	0.00436354	0.00440646	3.90154	--	--	--	--	--	1	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.4238	3.911	0.891638967
OC220302-SN0425	OC220302-SN0425	0.00384912	Inf*	2.20374	1.675396	1.587997	1.0197767	1.706045	1.853	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.1395	3.7856	0.698990913
OC220302-SN0426	OC220302-SN0426	0.000849598	Inf*	0.0120952	0.0163094	0.0235748	0.0237472	0.0197352	0.0185818	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.91	3.8422	0.763156525
OC220302-SN0429	OC220302-SN0429	0.00492694	Inf*	0.075934	0.0883282	0.0818738	0.0695088	0.0792891	0.0475424	0.0843042	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.6689	3.4018	0.803368805
OC220302-SN0430	OC220302-SN0430	0.0024327	Inf*	0.0828437	0.0578028	0.0144002	0.386318	0.0299546	0.01476388	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.256	3.4526	0.92585298
OC220302-SN0431	OC220302-SN0431	0.00134495	Inf*	0.00243185	0.00296579	0.00212258	0.0047008	0.00332876	0.001837902	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.4753	3.3585	0.858478487
OC220302-SN0432	OC220302-SN0432	0.00197798	Inf*	0.183205	0.146682	0.141439	1.691367	1.677087	0.192475	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2521	3.5095	0.928166405
OC220302-SN0433	OC220302-SN0433	0.000381998	Inf*	0.454201	0.469241	0.30541	0.5238	0.609849	0.2814021	Inf	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.1939	3.7503	0.94829747
OC220302-SN0436	OC220302-SN0436	0.00434277	Inf*	0.0143144	0.01206295	0.00733961	0.01382954	0.00866157	0.00958262	5.03684	--	--	0.00713497	0.0119642	0.010382	1	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.248	3.5475	0.930091614
OC220302-SN0438	OC220302-SN0438	0.0020299	Inf*	0.00593249	0.00739273	0.00483638	0.1699126	0.00728638	0.00783548	Inf	--	--	0.00987611	0.125128	0.00711232	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.3052	3.2346	0.905645211
OC220302-SN0439	OC220302-SN0439	0.00940498	Inf*	0.373241	0.0473603	0.0317116	0.0519887	0.0404014	0.0511467	0.764329	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.3463	3.145	0.889888712
OC220302-SN0441	OC220302-SN0441	0.00290998	Inf*	0.00647231	0.00674755	0.0087234	0.0132732	0.0108965	0.00915043	1.24344	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2863	3.6319	0.921170737
OC220302-SN0442	OC220302-SN0442	0.0296785	Inf*	0.0482571	0.577637	0.036834	0.4403	0.0579705	0.0337214	Inf	--	--	0.0207265	0.430809	0.0140755	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.84	4.0144	0.292546831
OC220302-SN0443	OC220302-SN0443	0.0021914	Inf*	0.0140642	0.0178469	0.002224	0.01590676	0.00560456	0.00368508	Inf	--	--	0.00315593	Inf	0.00568388	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.1397	3.6888	0.962128606
OC220302-SN0444	OC220302-SN0444	0.00534104	Inf*	0.0405045	0.0522393	0.0378638	0.0717164	0.0391436	0.0734238	2.41666	--	--	0.0277209	0.0499019	0.0533511	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.6626	3.8553	0.309366327
OC220302-SN0445	OC220302-SN0445	0.00572171	Inf*	0.205302	3.40041	0.0506131	0.1250072	0.088815	0.22557	0.448231	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.0063	3.6378	0.723376766
OC220302-SN0446	OC220302-SN0446	0.012298	Inf*	0.0227567	0.0205434	0.018734	0.00853098	0.01377313	0.0128756	0.117515	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2148	3.5854	0.940090366
OC220302-SN0447	OC220302-SN0447	0.00162169	Inf*	0.0176946	0.0178156	0.0178364	0.020508	0.0203881	0.03438	1.83776	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.2263	3.6598	0.93816602
OC220302-SN0448	OC220302-SN0448	0.00730047	Inf*	0.00365358	0.00264385	0.00259583	0.00266166	0.00296486	0.001371254	0.00438466	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.4268	3.723	0.885361268
OC220302-SN0451	OC220302-SN0451	0.114212	Inf*	0.104137	0.1299578	0.0633285	0.22482	0.0864179	0.064033	1.49342	--	--	--	--	--	0	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	2.9646	4.0222	0.262940679
